2024-09-04 10:05:13.266467 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.271606 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.276617 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.280847 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.285466 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.288514 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.294534 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.298666 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.303643 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.308171 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.312185 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.316632 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.321652 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.325651 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.330165 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.334165 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.337675 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.342698 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.347202 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.351218 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.355221 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.804400 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.810429 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.814946 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.818466 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.823464 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.827983 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.833001 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.836497 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.841511 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.845506 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.850603 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.855544 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.860453 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.864472 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.870997 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
2024-09-04 10:05:13.875002 - Drone detected at angle 38.57386153472592° (x: 450.03552040822206, y: 389.90547202425245)
